sales_id,lastSalePrice,lastSaleDate
117,392000.0,2023-06-13T00:00:00.000Z
118,257000.0,2019-08-22T00:00:00.000Z
119,0.0,2021-10-15T00:00:00.000Z
120,165900.0,2016-09-07T00:00:00.000Z
121,274300.0,2004-05-25T00:00:00.000Z
122,273340.0,2021-06-21T00:00:00.000Z
123,235000.0,2014-03-26T00:00:00.000Z
124,662000.0,2014-10-23T00:00:00.000Z
125,0.0,2020-11-23T00:00:00.000Z
126,314900.0,2022-12-08T00:00:00.000Z
127,269101.0,2019-11-25T00:00:00.000Z
128,130000.0,1989-08-14T00:00:00.000Z
129,0.0,2004-04-01T00:00:00.000Z
130,116500.0,2018-10-26T00:00:00.000Z
131,58750.0,1994-03-01T00:00:00.000Z
132,146500.0,2018-07-17T00:00:00.000Z
133,325000.0,2020-02-24T00:00:00.000Z
134,0.0,1997-06-24T00:00:00.000Z
135,126000.0,1999-03-30T00:00:00.000Z
136,0.0,2019-11-22T00:00:00.000Z
137,399000.0,2022-10-14T00:00:00.000Z
138,122000.0,1998-01-21T00:00:00.000Z
139,170000.0,2017-10-18T00:00:00.000Z
140,39400.0,2009-03-12T00:00:00.000Z
141,392000.0,2021-05-27T00:00:00.000Z
142,118000.0,2024-02-20T00:00:00.000Z
143,0.0,2016-09-08T00:00:00.000Z
144,144900.0,2012-10-09T00:00:00.000Z
145,200000.0,1997-08-19T00:00:00.000Z
146,151500.0,2012-10-08T00:00:00.000Z
147,0.0,2022-11-03T00:00:00.000Z
148,565134.0,2021-06-14T00:00:00.000Z
149,358100.0,2006-01-10T00:00:00.000Z
150,180000.0,2015-08-05T00:00:00.000Z
151,66000.0,2019-01-18T00:00:00.000Z
152,82500.0,2002-05-31T00:00:00.000Z
153,82500.0,2013-07-18T00:00:00.000Z
154,254000.0,2000-12-05T00:00:00.000Z
155,61000.0,2016-01-05T00:00:00.000Z
156,164900.0,2015-01-15T00:00:00.000Z
157,245000.0,2021-12-01T00:00:00.000Z
158,0.0,2023-03-31T00:00:00.000Z
159,0.0,1990-01-04T00:00:00.000Z
160,170885.0,2014-11-21T00:00:00.000Z
161,148300.0,2002-06-03T00:00:00.000Z
162,48500.0,1985-07-01T00:00:00.000Z
163,190000.0,2011-06-20T00:00:00.000Z
164,427000.0,2022-05-17T00:00:00.000Z
165,20000.0,2015-12-09T00:00:00.000Z
166,175000.0,2022-06-17T00:00:00.000Z
167,215000.0,2018-02-19T00:00:00.000Z
168,80700.0,1998-02-28T00:00:00.000Z
169,478900.0,2021-09-15T00:00:00.000Z
170,9000.0,2000-08-08T00:00:00.000Z
171,215000.0,2008-11-18T00:00:00.000Z
172,115000.0,1994-04-05T00:00:00.000Z
173,500000.0,2023-09-19T00:00:00.000Z
174,87000.0,2006-06-26T00:00:00.000Z
175,300000.0,2022-04-11T00:00:00.000Z
176,230000.0,2023-10-12T00:00:00.000Z
177,174000.0,2017-08-10T00:00:00.000Z
178,0.0,2022-05-25T00:00:00.000Z
179,400000.0,2023-07-31T00:00:00.000Z
180,0.0,2018-05-31T00:00:00.000Z
